Event,Date,Number of Users,Number of Tokenholders,Total Income,Timestamp,
DailyStatsUpdated,2021-10-01,4692,2136,490536291,2021-11-02T11:56:36,
DailyStatsUpdated,2021-10-04,4779,2177,491676345,2021-11-02T12:01:26,
DailyStatsUpdated,2021-10-05,4812,2195,492880186,2021-11-02T12:03:16,
DailyStatsUpdated,2021-10-06,4863,2201,493312301,2021-11-02T12:03:56,
DailyStatsUpdated,2021-10-07,4923,2214,493790967,2021-11-02T12:04:56,
DailyStatsUpdated,2021-10-08,4937,2222,494210990,2021-11-02T12:06:26,
DailyStatsUpdated,2021-10-11,4970,2231,495838040,2021-11-02T12:07:06,
DailyStatsUpdated,2021-10-12,5005,2240,496072520,2021-11-02T12:07:36,
DailyStatsUpdated,2021-10-13,5025,2240,496768055,2021-11-02T12:08:06,
DailyStatsUpdated,2021-10-14,5053,2259,496947750,2021-11-02T12:08:36,
DailyStatsUpdated,2021-10-15,5073,2264,497274332,2021-11-02T12:09:06,
DailyStatsUpdated,2021-10-18,5110,2281,498035434,2021-11-02T12:14:56,
DailyStatsUpdated,2021-10-19,5134,2291,498599090,2021-11-02T12:15:26,
DailyStatsUpdated,2021-10-20,5156,2304,499475270,2021-11-02T12:15:56,
DailyStatsUpdated,2021-10-21,5171,2312,499927752,2021-11-02T12:16:26,
DailyStatsUpdated,2021-10-22,5198,2312,500791092,2021-11-02T12:16:56,
DailyStatsUpdated,2021-10-24,5251,2312,502721770,2021-11-02T12:17:26,
DailyStatsUpdated,2021-10-25,5286,2353,503652583,2021-11-02T12:17:56,
DailyStatsUpdated,2021-10-26,5370,2374,505637427,2021-11-02T12:18:26,
DailyStatsUpdated,2021-10-27,5463,2394,506529415,2021-11-02T12:18:56,
DailyStatsUpdated,2021-10-29,5624,2394,507442216,2021-11-02T12:19:16,
DailyStatsUpdated,2021-11-01,5790,2458,508820123,2021-11-02T12:19:46,
DailyStatsUpdated,2021-11-02,5862,2458,510234558,2021-11-02T12:39:36,
DailyStatsUpdated,2021-11-03,5930,2506,513985367,2021-11-05T11:53:06,
DailyStatsUpdated,2021-11-04,5982,2517,514369815,2021-11-05T11:54:36,
DailyStatsUpdated,2021-11-05,6036,2517,514892506,2021-11-05T11:55:26,
DailyStatsUpdated,2021-11-08,6174,2546,514892506,2021-11-09T05:52:56,
DailyStatsUpdated,2021-11-09,6225,2565,515533594,2021-11-14T18:11:16,
DailyStatsUpdated,2021-11-10,6268,2578,515833433,2021-11-14T18:11:46,
DailyStatsUpdated,2021-11-11,6304,2586,516473563,2021-11-14T18:12:16,
DailyStatsUpdated,2021-11-12,6350,2593,516718563,2021-11-14T18:12:46,
DailyStatsUpdated,2021-11-15,6543,2606,517217063,2021-11-23T20:32:17,
DailyStatsUpdated,2021-11-16,6631,2627,517764120,2021-11-23T20:32:57,
DailyStatsUpdated,2021-11-17,6721,2627,517764120,2021-11-23T20:33:37,
DailyStatsUpdated,2021-11-18	,6790,2650,518582711,2021-11-23T20:34:07,
DailyStatsUpdated,2021-11-19,6871,2666,519418937,2021-11-23T20:34:37,
DailyStatsUpdated,2021-11-22,7039,2687,519985849,2021-11-23T20:35:07,
DailyStatsUpdated,2021-11-23,7130,2706,520822949,2021-11-23T20:35:37,
DailyStatsUpdated,2021-11-24,7201,2722,521153658,2021-11-24T14:45:57,
DailyStatsUpdated,2021-11-25,7251,2732,521796432,2021-11-26T10:52:37,
DailyStatsUpdated,2021-11-26,7294,2742,522248020,2021-11-26T14:19:27,
DailyStatsUpdated,2021-11-29,7428,2760,522543571,2021-11-29T14:41:47,
DailyStatsUpdated,2021-11-30,7482,2767,522816764,2021-11-30T20:02:37,
DailyStatsUpdated,2021-12-01,7528,2773,522976383,2021-12-01T16:18:37,
DailyStatsUpdated,2021-12-02,7571,2779,523149855,2021-12-04T08:19:17,
DailyStatsUpdated,2021-12-03,7598,2784,523221855,2021-12-04T08:19:57,
DailyStatsUpdated,2021-12-06,7665,2796,523379355,2021-12-07T07:31:47,
DailyStatsUpdated,2021-12-07,7712,2799,523469312,2021-12-08T08:52:27,
DailyStatsUpdated,2021-12-08,7738,2799,523469312,2021-12-09T10:54:47,
DailyStatsUpdated,2021-12-09,7775,2806,523770237,2021-12-10T06:19:47,
DailyStatsUpdated,2021-12-10,7783,2808,523800237,2021-12-14T09:35:47,
DailyStatsUpdated,2021-12-13,7802,2810,523870237,2021-12-14T09:36:27,
DailyStatsUpdated,2021-12-14,7810,2810,523870237,2021-12-16T09:04:07,
DailyStatsUpdated,2021-12-15,7815,2810,523870237,2021-12-16T09:04:47,
DailyStatsUpdated,2021-12-16,7817,2819,524120007,2021-12-18T15:32:17,
DailyStatsUpdated,2021-12-17,7821,2822,524460007,2021-12-18T15:32:57,
DailyStatsUpdated,2021-12-20,7831,2826,524730027,2021-12-20T20:39:37,
DailyStatsUpdated,2021-12-21,7832,2826,524730027,2021-12-24T00:04:07,
DailyStatsUpdated,2021-12-22,7836,2826,524730027,2021-12-24T00:04:37,
